EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
2758,GNOGONS #2758,XGNOGONS-0a6d4c-0AC6,60,94,89,91,91,95,Twilight Zone,Taupe,Ether,Fire Blast,Cerulean,Mountain,Steel Scales,Frost,Seashell,Shards of Darkness,287.17,8674,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2758.png,
2759,GNOGONS #2759,XGNOGONS-0a6d4c-0AC7,60,92,94,94,90,95,Tiffany Sea,Cyber,Ice,Lockness,Dragonfruit,Toxic,Stealthmode,Silver,Crusader,Destroyer,347.29,4864,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2759.png,
2760,GNOGONS #2760,XGNOGONS-0a6d4c-0AC8,60,92,89,90,94,94,Holograph,Blush,Plant,Diamond Hands,Sky,Diamond,Stealthmode,Bones,Seashell,Shards of Darkness,284.76,8793,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2760.png,
2761,GNOGONS #2761,XGNOGONS-0a6d4c-0AC9,85,96,97,94,93,91,Almond Skin,GNG,Thunder,Fire Blast,Autumn,Mountain,Marine,Photosynthesis,None,Destroyer,335.52,5587,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2761.png,
2762,GNOGONS #2762,XGNOGONS-0a6d4c-0ACA,80,99,93,94,90,93,Hot Pink,Taupe,Moon,Fire Blast,Sky,Toxic,Desert Storm,Silver,Blackbox,Grim Reaper,336.73,5493,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2762.png,
2763,GNOGONS #2763,XGNOGONS-0a6d4c-0ACB,96,94,94,94,96,97,Fast Furious,Bone,Ice,Lockness,Sky,Tough,Stealthmode,Hazard,Royal Armor,Grim Reaper,349.18,4726,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2763.png,
2764,GNOGONS #2764,XGNOGONS-0a6d4c-0ACC,65,97,94,90,99,90,Standard Issue,Deep Sea,Ice,Lockness,Cerulean,Mountain,Plated,Scarab,Blackbox,Elder,355.07,4416,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2764.png,
2765,GNOGONS #2765,XGNOGONS-0a6d4c-0ACD,93,93,94,98,96,94,Fast Furious,Tiffany,Alloys,Gnogons,Citrus,Lagoon,Atlantis,Volt,Rise,Aviators,342.18,5167,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2765.png,
2766,GNOGONS #2766,XGNOGONS-0a6d4c-0ACE,90,93,97,100,90,89,Almond Skin,GNG,Water,24 Karat,Charcoal,Oceanic,Blizzard,Sacrifice,None,Aviators,1036.02,228,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2766.png,
2767,GNOGONS #2767,XGNOGONS-0a6d4c-0ACF,93,97,96,96,90,92,Twilight Zone,Beluga,Moon,Destiny,Cerulean,Diamond,Steel Scales,Hades,None,Inferno,297.13,8110,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2767.png,
2768,GNOGONS #2768,XGNOGONS-0a6d4c-0AD0,95,99,95,90,96,93,Midnight Navy,GNG,Decay,Bubble Gum,Sky,Oceanic,Atlantis,Dusk,None,Mystic,410.54,2218,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2768.png,
2769,GNOGONS #2769,XGNOGONS-0a6d4c-0AD1,65,91,90,89,98,94,Pure Red,Blush,Ice,God of War,Autumn,Diamond,Steel Scales,Chariot,Seashell,Stealth Mode,367.4,3809,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2769.png,
2770,GNOGONS #2770,XGNOGONS-0a6d4c-0AD2,65,95,98,91,94,94,Almond Skin,Taupe,Fire,Darkmode,Citrus,Mountain,Steel Scales,Bones,Rise,Protector,336.02,5543,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2770.png,
2771,GNOGONS #2771,XGNOGONS-0a6d4c-0AD3,80,95,89,98,95,93,Hot Pink,Bone,Ether,Destiny,Dragonfruit,Diamond,Desert Storm,Chariot,None,Mystic,383.32,3129,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2771.png,
2772,GNOGONS #2772,XGNOGONS-0a6d4c-0AD4,75,97,90,97,95,93,Undriven Snow,GNG,Decay,Death,Violet,Oceanic,Desert Storm,Blades,None,Victory Crown,301.06,7886,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2772.png,
2773,GNOGONS #2773,XGNOGONS-0a6d4c-0AD5,92,94,90,98,98,96,Midnight Navy,Deep Sea,Gnogen,God of War,Sky,Toxic,Blizzard,Hades,None,Grim Reaper,395.66,2694,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2773.png,
2774,GNOGONS #2774,XGNOGONS-0a6d4c-0AD6,90,91,95,98,99,93,Twilight Zone,Deep Sea,Gnogen,God of War,Citrus,Lagoon,Steel Scales,Beauty,Rise,Victory Crown,393.32,2784,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2774.png,
2775,GNOGONS #2775,XGNOGONS-0a6d4c-0AD7,96,98,91,91,91,97,Twilight Zone,Aura,Ice,Destiny,Citrus,Mountain,Marine,Fine Wine,None,Moonlight Rider,374.44,3482,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2775.png,
2776,GNOGONS #2776,XGNOGONS-0a6d4c-0AD8,92,97,90,99,90,89,Holograph,Tiffany,Water,God of War,Offwhite,Lagoon,Blizzard,Blades,None,Golden Sunset,473.19,1105,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2776.png,
2777,GNOGONS #2777,XGNOGONS-0a6d4c-0AD9,80,94,96,93,90,94,Black Charcoal,Bone,Fire,Blockchain,Emerald,Toxic,Stealthmode,Sacrifice,None,Priest,359.06,4230,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2777.png,
2778,GNOGONS #2778,XGNOGONS-0a6d4c-0ADA,96,94,99,91,97,91,Pure Red,Deep Sea,Ether,Lunar Landing,Charcoal,Diamond,Mech Suit,Silver,None,Wisdom,351.76,4593,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2778.png,
2779,GNOGONS #2779,XGNOGONS-0a6d4c-0ADB,80,92,95,93,91,93,Standard Issue,Cyber,Ice,Fire Blast,Charcoal,Lagoon,Desert Storm,Jira,None,Moonlight Rider,253.32,9836,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2779.png,
2780,GNOGONS #2780,XGNOGONS-0a6d4c-0ADC,80,92,91,92,90,94,Twilight Zone,Taupe,Sun,God of War,Cerulean,Oceanic,Marine,Plasma,MEX,Prism Frost,284.29,8818,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2780.png,
2781,GNOGONS #2781,XGNOGONS-0a6d4c-0ADD,85,97,95,91,96,90,Pure Red,Forrest,Fear,Destiny,Dragonfruit,Lagoon,Atlantis,Sacrifice,None,God of Thunder,314.93,6958,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2781.png,
2782,GNOGONS #2782,XGNOGONS-0a6d4c-0ADE,96,90,94,93,94,96,Twilight Zone,Aura,Sun,Death,Citrus,Diamond,Atlantis,Dusk,Special Task Force,Stealth Mode,342.78,5140,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2782.png,
2783,GNOGONS #2783,XGNOGONS-0a6d4c-0ADF,99,89,94,100,94,94,Jet Black,GNG,Gnogen,Lockness,Citrus,Oceanic,Cave,Frost,Centurion,Healer,1121.06,132,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2783.png,
2784,GNOGONS #2784,XGNOGONS-0a6d4c-0AE0,93,89,98,90,92,95,Undriven Snow,Taupe,Sun,Death,Citrus,Diamond,Plated,Chariot,Centurion,Inferno,354.31,4455,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2784.png,
2785,GNOGONS #2785,XGNOGONS-0a6d4c-0AE1,70,92,96,95,93,94,Jet Black,Cyber,Ether,Rival,Gold,Dragonguard,Desert Storm,Sacrifice,None,Stealth Mode,336.66,5499,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2785.png,
2786,GNOGONS #2786,XGNOGONS-0a6d4c-0AE2,90,89,94,94,94,95,Midnight Navy,Deep Sea,Fear,Gnogons,Emerald,Toxic,Desert Storm,Mist,None,Priest,286.64,8703,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2786.png,
2787,GNOGONS #2787,XGNOGONS-0a6d4c-0AE3,70,89,94,94,93,90,Tiffany Sea,Deep Sea,Spirit,Lunar Landing,Charcoal,Toxic,Mech Suit,Hazard,None,Gnogent,401.7,2482,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2787.png,
2788,GNOGONS #2788,XGNOGONS-0a6d4c-0AE4,95,100,90,99,89,95,Hot Pink,Plum,Time,Guardian of Earth,Charcoal,Oceanic,Platinum,Blades,None,Uniswap Killer,1056.65,201,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2788.png,
2789,GNOGONS #2789,XGNOGONS-0a6d4c-0AE5,96,98,95,97,91,94,Hot Pink,Plum,Fire,Lockness,Violet,Oceanic,Stealthmode,Bones,None,Stealth Mode,383.71,3115,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2789.png,
2790,GNOGONS #2790,XGNOGONS-0a6d4c-0AE6,91,96,95,90,90,100,Fast Furious,Tiffany,Fear,Lunar Landing,Emerald,Oceanic,Cave,Frost,None,Alien,963.46,324,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2790.png,
2791,GNOGONS #2791,XGNOGONS-0a6d4c-0AE7,97,89,94,94,95,90,Jet Black,Aura,Moon,Death,Dragonfruit,Toxic,Cave,Frost,None,Warrior,305.2,7610,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2791.png,
2792,GNOGONS #2792,XGNOGONS-0a6d4c-0AE8,98,95,92,90,94,94,Pure Red,Plum,Fire,Gnogons,Dragonfruit,Toxic,Maiar Blue,Dusk,None,Omega,473.87,1100,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2792.png,
2793,GNOGONS #2793,XGNOGONS-0a6d4c-0AE9,94,94,90,92,91,98,Hot Pink,Plum,Alloys,Gnogons,Cerulean,Mountain,Desert Storm,Fine Wine,Royal Armor,Warrior,358.73,4244,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2793.png,
2794,GNOGONS #2794,XGNOGONS-0a6d4c-0AEA,91,96,98,94,94,96,Fast Furious,Plum,Decay,Guardian of Earth,Charcoal,Toxic,Gold Plated,Silver,Centurion,Elder,387,2997,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2794.png,
2795,GNOGONS #2795,XGNOGONS-0a6d4c-0AEB,93,91,92,97,96,94,Hot Pink,Deep Sea,Plant,Diamond Hands,Emerald,Oceanic,Atlantis,Volt,Blackbox,Priest,327.37,6141,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2795.png,
2796,GNOGONS #2796,XGNOGONS-0a6d4c-0AEC,91,90,90,94,91,95,Black Charcoal,Bone,Fear,Death,Cerulean,Oceanic,Atlantis,Bones,Royal Armor,Ancient,386.39,3023,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2796.png,
2797,GNOGONS #2797,XGNOGONS-0a6d4c-0AED,92,91,97,96,97,89,Hot Pink,Bananas,Thunder,24 Karat,Emerald,Toxic,Blizzard,Rainbow,None,Post Battle,325.4,6284,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2797.png,
2798,GNOGONS #2798,XGNOGONS-0a6d4c-0AEE,85,89,94,93,95,98,Hot Pink,Taupe,Alloys,Destiny,Cerulean,Lagoon,Plated,Photosynthesis,None,Uniswap Killer,339.35,5338,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2798.png,
2799,GNOGONS #2799,XGNOGONS-0a6d4c-0AEF,80,93,91,94,94,93,Twilight Zone,Taupe,Gnogen,Destiny,Cerulean,Mountain,Plated,Blades,Rise,Mystic,329.69,5994,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2799.png,
2800,GNOGONS #2800,XGNOGONS-0a6d4c-0AF0,95,91,97,94,94,94,Standard Issue,Forrest,Plant,Lunar Landing,Dragonfruit,Diamond,Atlantis,Silver,None,Metaversed,317.68,6786,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2800.png,
2801,GNOGONS #2801,XGNOGONS-0a6d4c-0AF1,92,92,90,93,96,89,Standard Issue,Beluga,Ice,Lunar Landing,Cerulean,Toxic,Gold Plated,Hades,None,Moonlight Rider,268.91,9486,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2801.png,
2802,GNOGONS #2802,XGNOGONS-0a6d4c-0AF2,97,95,94,90,94,90,Pure Red,Tiffany,Water,Fire Blast,Charcoal,Toxic,Maiar Blue,Sacrifice,Impenetrable,Prism Frost,352.76,4540,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2802.png,
2803,GNOGONS #2803,XGNOGONS-0a6d4c-0AF3,80,90,96,96,98,92,Undriven Snow,Plum,Thunder,Fire Blast,Autumn,Tough,Marine,Hazard,Rise,Gnogent,486.5,1001,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2803.png,
2804,GNOGONS #2804,XGNOGONS-0a6d4c-0AF4,94,90,98,94,94,96,Black Charcoal,Blush,Decay,Gnogons,Autumn,Tough,Blizzard,Frost,None,Aviators,340.1,5295,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2804.png,
2805,GNOGONS #2805,XGNOGONS-0a6d4c-0AF5,91,96,97,92,96,95,Hot Pink,Aura,Ether,Lunar Landing,Dragonfruit,Toxic,Maiar Blue,Silver,None,Warrior,282.84,8906,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2805.png,
2806,GNOGONS #2806,XGNOGONS-0a6d4c-0AF6,85,98,94,93,97,97,Black Charcoal,Plum,Thunder,Darkmode,Sky,Toxic,Blizzard,Photosynthesis,Blackbox,Moonlight Rider,343.91,5067,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2806.png,
2807,GNOGONS #2807,XGNOGONS-0a6d4c-0AF7,80,94,90,97,95,94,Fast Furious,Plum,Thunder,Lockness,Gold,Mountain,Blizzard,Photosynthesis,None,Warrior,272.56,9350,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2807.png,
2808,GNOGONS #2808,XGNOGONS-0a6d4c-0AF8,93,94,98,94,89,97,Twilight Zone,Bananas,Plant,Death,Violet,Toxic,Blizzard,Beauty,None,Metaversed,360.33,4160,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2808.png,
2809,GNOGONS #2809,XGNOGONS-0a6d4c-0AF9,91,93,94,95,95,94,Midnight Navy,GNG,Sun,Darkmode,Charcoal,Oceanic,Atlantis,Ifrit,None,Grim Reaper,300.31,7939,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2809.png,
2810,GNOGONS #2810,XGNOGONS-0a6d4c-0AFA,97,98,97,89,94,92,Undriven Snow,Taupe,Ether,Rival,Offwhite,Oceanic,Steel Scales,Silver,None,Protector,370.77,3638,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2810.png,
2811,GNOGONS #2811,XGNOGONS-0a6d4c-0AFB,92,96,94,94,93,97,Midnight Navy,Bone,Moon,Guardian of Earth,Gold,Dragonguard,Platinum,Bones,None,Victory Crown,286.53,8712,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2811.png,
2812,GNOGONS #2812,XGNOGONS-0a6d4c-0AFC,93,95,97,98,93,92,Hot Pink,GNG,Thunder,God of War,Emerald,Lagoon,Cave,Silver,None,Alpha,460.08,1239,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2812.png,
2813,GNOGONS #2813,XGNOGONS-0a6d4c-0AFD,85,98,91,91,91,90,Black Charcoal,Deep Sea,Water,Darkmode,Emerald,Oceanic,Atlantis,Ifrit,None,Post Battle,339.46,5333,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2813.png,
2814,GNOGONS #2814,XGNOGONS-0a6d4c-0AFE,94,94,94,98,90,96,Jet Black,Bone,Fire,Bubble Gum,Cerulean,Toxic,Platinum,Fine Wine,Special Task Force,Omega,510.81,856,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2814.png,
2815,GNOGONS #2815,XGNOGONS-0a6d4c-0AFF,94,97,94,91,96,94,Jet Black,Beluga,Ice,Death,Charcoal,Dragonguard,Stealthmode,Photosynthesis,None,Metaversed,324,6361,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2815.png,
2816,GNOGONS #2816,XGNOGONS-0a6d4c-0B00,65,94,94,92,93,96,Midnight Navy,Beluga,Ice,Kobe,Autumn,Mountain,Maiar Blue,Sacrifice,None,Victory Crown,258.9,9734,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2816.png,
2817,GNOGONS #2817,XGNOGONS-0a6d4c-0B01,91,89,96,90,93,94,Standard Issue,Forrest,Decay,Gnogons,Violet,Toxic,Cave,Frost,None,Alpha,433.75,1688,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2817.png,
2818,GNOGONS #2818,XGNOGONS-0a6d4c-0B02,85,89,93,96,93,91,Jet Black,Bone,Water,Fire Blast,Autumn,Mountain,Steel Scales,Bones,None,Iridescent,241.99,9961,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2818.png,
2819,GNOGONS #2819,XGNOGONS-0a6d4c-0B03,65,90,92,89,95,98,Jet Black,Cyber,Sun,Bubble Gum,Offwhite,Lagoon,Atlantis,Dusk,None,Alien,389.78,2894,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2819.png,
2820,GNOGONS #2820,XGNOGONS-0a6d4c-0B04,65,93,91,93,98,100,Standard Issue,Blush,Water,Destiny,Cerulean,Lagoon,Plated,Dusk,None,Moonlight Rider,941.55,358,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2820.png,
2821,GNOGONS #2821,XGNOGONS-0a6d4c-0B05,80,94,89,90,94,95,Midnight Navy,GNG,Thunder,Gnogons,Cerulean,Mountain,Marine,Scarab,Centurion,Mystic,322.46,6468,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2821.png,
2822,GNOGONS #2822,XGNOGONS-0a6d4c-0B06,99,96,95,95,94,92,Fast Furious,Bone,Decay,24 Karat,Cerulean,Oceanic,Cave,Jet Blue,Special Task Force,Metaversed,505.46,875,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2822.png,
2823,GNOGONS #2823,XGNOGONS-0a6d4c-0B07,96,94,95,94,98,95,Tiffany Sea,Bone,Spirit,Seaside,Citrus,Oceanic,Cave,Blades,Crusader,Golden Sunset,504.35,880,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2823.png,
2824,GNOGONS #2824,XGNOGONS-0a6d4c-0B08,70,96,93,94,97,93,Black Charcoal,Aura,Sun,Blockchain,Autumn,Toxic,Marine,Sacrifice,Royal Armor,Iridescent,345.62,4955,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2824.png,
2825,GNOGONS #2825,XGNOGONS-0a6d4c-0B09,94,98,95,94,96,92,Undriven Snow,Deep Sea,Fire,Guardian of Earth,Sky,Mountain,Marine,Rainbow,None,Shards of Darkness,326.61,6186,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2825.png,
2826,GNOGONS #2826,XGNOGONS-0a6d4c-0B0A,96,92,90,94,96,90,Fast Furious,Cyber,Ether,Guardian of Earth,Autumn,Oceanic,Maiar Blue,Jira,None,Victory Crown,285.44,8762,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2826.png,
2827,GNOGONS #2827,XGNOGONS-0a6d4c-0B0B,65,97,92,96,95,94,Undriven Snow,Bananas,Alloys,Destiny,Dragonfruit,Toxic,Blizzard,Ifrit,Seashell,Moonlight Rider,319.26,6679,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2827.png,
2828,GNOGONS #2828,XGNOGONS-0a6d4c-0B0C,93,91,93,94,97,91,Jet Black,Bone,Spirit,Guardian of Earth,Dragonfruit,Diamond,Atlantis,Sacrifice,None,Shards of Darkness,273.1,9331,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2828.png,
2829,GNOGONS #2829,XGNOGONS-0a6d4c-0B0D,70,96,99,91,93,95,Pure Red,Bananas,Ether,Bubble Gum,Violet,Oceanic,Mech Suit,Fine Wine,None,Victory Crown,382.6,3156,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2829.png,
2830,GNOGONS #2830,XGNOGONS-0a6d4c-0B0E,96,93,92,91,99,92,Tiffany Sea,GNG,Alloys,God of War,Violet,Oceanic,Stealthmode,Mist,None,Ancient,443.18,1487,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2830.png,
2831,GNOGONS #2831,XGNOGONS-0a6d4c-0B0F,85,98,96,92,96,94,Hot Pink,Bone,Fire,Cotton Candy,Autumn,Oceanic,Steel Scales,Razor,None,Moonlight Rider,300.19,7945,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2831.png,
2832,GNOGONS #2832,XGNOGONS-0a6d4c-0B10,98,95,94,89,94,90,Standard Issue,Bananas,Ice,Lockness,Cerulean,Tough,Atlantis,Silver,None,Stealth Mode,382.32,3168,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2832.png,
2833,GNOGONS #2833,XGNOGONS-0a6d4c-0B11,80,98,94,95,98,94,Midnight Navy,GNG,Ice,Death,Citrus,Toxic,Desert Storm,Dusk,None,Gnogent,488.08,991,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2833.png,
2834,GNOGONS #2834,XGNOGONS-0a6d4c-0B12,85,94,97,96,94,94,Standard Issue,GNG,Thunder,Lunar Landing,Citrus,Diamond,Mech Suit,Fine Wine,None,God of Thunder,320.45,6602,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2834.png,
2835,GNOGONS #2835,XGNOGONS-0a6d4c-0B13,90,94,95,95,96,94,Black Charcoal,GNG,Thunder,Cotton Candy,Offwhite,Oceanic,Maiar Blue,Beauty,Treesuit,Alien,498.26,908,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2835.png,
2836,GNOGONS #2836,XGNOGONS-0a6d4c-0B14,60,96,95,94,97,97,Almond Skin,Beluga,Sun,Lunar Landing,Sky,Toxic,Blizzard,Razor,Metal,Metaversed,369.92,3680,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2836.png,
2837,GNOGONS #2837,XGNOGONS-0a6d4c-0B15,65,97,94,93,94,93,Twilight Zone,Cyber,Decay,Lockness,Cerulean,Toxic,Stealthmode,Sacrifice,None,Inferno,257.89,9760,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2837.png,
2838,GNOGONS #2838,XGNOGONS-0a6d4c-0B16,70,91,95,93,94,94,Midnight Navy,Bananas,Spirit,Lockness,Citrus,Diamond,Marine,Dusk,None,Moonlight Rider,262.88,9642,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2838.png,
